task_title,task_description,task_category,location,disaster_type,requested_volunteers_count,deadline_hours,created_hour,ngo_manual_urgency,priority_label
Emergency food and water distribution in disaster zone,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Logistics & Transport,Odisha,Flood,5,2,23,critical,Critical
Volunteer drivers needed for medicine transport tomorrow,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Shelter,Uttarakhand,Cyclone,4,18,16,high,High
Shelter setup support needed by tomorrow morning,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Food & Nutrition,Assam,None,2,48,14,high,High
Psychosocial support volunteers needed this week,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Medical,Guwahati,None,7,48,10,medium,High
Video editing volunteer for awareness campaign,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Education,Himachal Pradesh,None,1,504,11,low,Low
Immediate evacuation support needed in cyclone area,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Medical,Bihar,Earthquake,6,2,4,critical,Critical
Community survey volunteers for planning phase,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Fundraising,Karnataka,None,3,336,17,low,Low
Relief camp logistics volunteers needed tomorrow,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Sanitation,Guwahati,None,6,18,20,medium,Critical
Volunteers needed this weekend for donation packaging,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Logistics & Transport,Madhya Pradesh,None,10,120,17,medium,Medium
Psychosocial support volunteers needed this week,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Sanitation,Mumbai,Flood,3,18,12,high,High
Shelter setup support needed by tomorrow morning,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Medical,Karnataka,Cyclone,4,30,19,high,High
Sanitation volunteers needed at relief camp,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Food & Nutrition,Mumbai,None,4,24,19,high,Critical
Urgent: temporary shelter construction volunteers,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Medical,Guwahati,None,5,24,14,high,High
Donation collection drive volunteers this weekend,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Skill Training,Himachal Pradesh,None,4,120,15,low,Medium
Awareness campaign volunteers needed this Saturday,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Skill Training,Uttarakhand,Flood,4,96,10,medium,Medium
Urgent rescue operation – volunteers needed immediately,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Medical,Guwahati,Cyclone,6,4,13,critical,Critical
Transport volunteers for weekly supply delivery,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Skill Training,Madhya Pradesh,None,10,48,8,high,Medium
Life-threatening situation – rescue volunteers needed NOW,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Logistics & Transport,Karnataka,Landslide,6,12,20,critical,Critical
Urgent: stranded flood victims need immediate help,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Rescue & Evacuation,Mumbai,Cyclone,2,2,21,critical,Critical
Research assistant volunteer for grant writing,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Fundraising,West Bengal,None,4,336,10,low,Low
Volunteer drivers needed for medicine transport tomorrow,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Shelter,West Bengal,None,5,12,10,high,High
Food distribution volunteers needed this evening,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Sanitation,Madhya Pradesh,Flood,2,48,19,high,High
Volunteers needed this weekend for donation packaging,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Food & Nutrition,Guwahati,None,2,120,18,medium,Medium
Critical: trauma support volunteers needed at hospital,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Rescue & Evacuation,Mumbai,Cyclone,6,3,4,critical,Critical
Urgent rescue operation – volunteers needed immediately,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Food & Nutrition,Kerala,Landslide,6,2,19,high,Critical
Emergency medical aid volunteers for flood victims,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Logistics & Transport,Chennai,Landslide,1,8,19,critical,High
Emergency food and water distribution in disaster zone,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Logistics & Transport,Gujarat,Flood,5,4,10,critical,Critical
Immediate evacuation support needed in cyclone area,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Rescue & Evacuation,Himachal Pradesh,Flood,6,1,12,critical,Critical
Water distribution support for flood-affected area,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Food & Nutrition,Chennai,None,6,18,12,high,High
Medical camp volunteers needed this week,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Medical,Pune,None,2,12,19,high,Critical
Volunteer coordinator assistant needed,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Awareness,Pune,None,4,504,10,medium,Low
Food distribution volunteers needed this evening,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Shelter,Odisha,Flood,7,48,21,high,High
Psychosocial support volunteers needed this week,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Sanitation,Chennai,Flood,7,30,10,high,High
Transport volunteers for weekly supply delivery,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Food & Nutrition,Gujarat,None,10,120,8,medium,Medium
Critical: trauma support volunteers needed at hospital,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Medical,Himachal Pradesh,Landslide,4,3,8,critical,Critical
Food distribution volunteers needed this evening,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Logistics & Transport,Kerala,None,4,24,6,medium,High
Urgent: temporary shelter construction volunteers,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Sanitation,Andhra Pradesh,None,3,48,7,high,Critical
Psychosocial support volunteers needed this week,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Sanitation,Madhya Pradesh,None,8,48,12,high,High
Fundraising preparation volunteers next week,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Administration,Andhra Pradesh,None,3,336,17,low,Low
Social media content creation volunteer needed,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Education,Chennai,None,2,120,10,medium,Low
Psychosocial support volunteers needed this week,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Sanitation,Andhra Pradesh,Flood,4,12,21,high,High
Shelter setup support needed by tomorrow morning,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Shelter,West Bengal,None,5,12,10,high,High
Sanitation volunteers needed at relief camp,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Medical,Andhra Pradesh,Cyclone,3,30,16,high,Medium
Medical camp volunteers needed this week,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Medical,Mumbai,Flood,4,30,6,high,High
Legal aid camp volunteers needed next few days,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Skill Training,Himachal Pradesh,Flood,9,96,14,medium,Medium
Volunteers needed this weekend for donation packaging,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Psychosocial Support,Uttarakhand,None,8,72,16,low,Medium
Critical medicine delivery volunteers needed today,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Rescue & Evacuation,Guwahati,Landslide,1,2,16,critical,Critical
Water distribution support for flood-affected area,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Medical,Guwahati,None,2,36,14,medium,High
Website update volunteer needed,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Fundraising,Guwahati,None,3,336,14,low,Low
Immediate evacuation support needed in cyclone area,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Medical,Chennai,Flood,4,3,22,critical,Critical
Website update volunteer needed,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Fundraising,Uttarakhand,None,3,336,17,low,Low
Psychosocial support volunteers needed this week,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Medical,Karnataka,None,8,36,10,critical,High
Emergency food and water distribution in disaster zone,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Food & Nutrition,Andhra Pradesh,Cyclone,5,6,10,critical,Critical
Donation collection drive volunteers this weekend,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Food & Nutrition,Odisha,None,3,96,15,medium,Low
Sanitation volunteers needed at relief camp,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Shelter,Madhya Pradesh,Cyclone,3,24,9,medium,High
Video editing volunteer for awareness campaign,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Fundraising,Gujarat,None,2,168,10,medium,Low
Water distribution support for flood-affected area,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Logistics & Transport,Karnataka,Flood,8,48,6,medium,High
Psychosocial support volunteers needed this week,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Shelter,Mumbai,Cyclone,4,48,6,high,High
Urgent: temporary shelter construction volunteers,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Sanitation,Guwahati,Flood,3,24,12,high,High
Community kitchen volunteers needed this week,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Logistics & Transport,Pune,None,5,96,19,low,Medium
Urgent: temporary shelter construction volunteers,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Logistics & Transport,Gujarat,Cyclone,2,24,8,high,High
Urgent rescue operation – volunteers needed immediately,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Logistics & Transport,Uttarakhand,Cyclone,3,8,17,critical,Critical
Transport volunteers for weekly supply delivery,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Skill Training,Bihar,Flood,5,96,13,low,Medium
Emergency relief – medical camp setup tonight,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Logistics & Transport,Himachal Pradesh,Flood,6,6,14,high,Critical
Water distribution support for flood-affected area,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Logistics & Transport,Assam,Cyclone,8,24,9,high,High
Volunteer drivers needed for medicine transport tomorrow,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Medical,Madhya Pradesh,Flood,2,30,16,critical,High
Emergency relief – medical camp setup tonight,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Food & Nutrition,Guwahati,Cyclone,1,12,21,critical,Critical
Urgent rescue operation – volunteers needed immediately,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Food & Nutrition,Odisha,Cyclone,3,6,9,critical,Critical
Educational material sorting volunteers needed next week,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Awareness,Guwahati,None,3,168,12,low,Low
Skill training session support volunteers,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Logistics & Transport,Kerala,None,5,72,18,medium,Medium
Volunteer drivers needed for medicine transport tomorrow,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Shelter,Odisha,None,6,18,15,high,Critical
Legal aid camp volunteers needed next few days,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Psychosocial Support,Andhra Pradesh,None,5,48,10,medium,Medium
Water distribution support for flood-affected area,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Food & Nutrition,Odisha,None,7,30,13,high,High
Social media content creation volunteer needed,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Awareness,Rajasthan,None,4,504,13,medium,Low
Urgent: stranded flood victims need immediate help,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Rescue & Evacuation,Andhra Pradesh,Landslide,3,12,17,critical,Critical
Urgent: temporary shelter construction volunteers,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Logistics & Transport,Kerala,None,8,12,7,high,High
Website update volunteer needed,Data entry volunteer needed to digitize paper records over 2-3 weeks. Can work from home at own pace.,Education,Madhya Pradesh,None,4,168,9,medium,Low
Admin assistance for NGO office next week,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Administration,Pune,None,3,336,15,low,Low
Relief camp logistics volunteers needed tomorrow,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Logistics & Transport,Bihar,Cyclone,6,36,14,high,High
Skill training session support volunteers,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Logistics & Transport,Bihar,None,2,72,17,medium,Medium
Sanitation volunteers needed at relief camp,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Food & Nutrition,Odisha,None,8,12,15,high,High
Critical medicine delivery volunteers needed today,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Rescue & Evacuation,Uttarakhand,Earthquake,5,12,4,critical,Critical
Critical: trauma support volunteers needed at hospital,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Medical,Gujarat,None,5,4,18,critical,Critical
Educational material sorting volunteers needed next week,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Fundraising,West Bengal,None,2,336,17,low,Low
Community survey volunteers for planning phase,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Administration,Pune,None,4,240,14,low,Low
Community survey volunteers for planning phase,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Fundraising,Rajasthan,None,3,120,15,medium,Medium
Urgent: stranded flood victims need immediate help,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Logistics & Transport,Kerala,Flood,2,8,23,critical,Critical
Urgent: stranded flood victims need immediate help,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Rescue & Evacuation,Uttarakhand,Landslide,1,6,9,critical,Critical
Emergency medical aid volunteers for flood victims,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Medical,Kerala,Cyclone,1,1,16,critical,Critical
Urgent rescue operation – volunteers needed immediately,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Rescue & Evacuation,Bihar,Cyclone,5,6,0,critical,Critical
Water distribution support for flood-affected area,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Food & Nutrition,Mumbai,Flood,7,48,10,high,High
Volunteer drivers needed for medicine transport tomorrow,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Logistics & Transport,Gujarat,Flood,8,18,12,high,High
Relief camp logistics volunteers needed tomorrow,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Shelter,Kerala,Flood,7,30,16,high,High
Volunteer drivers needed for medicine transport tomorrow,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Sanitation,Rajasthan,Flood,3,48,12,high,High
Shelter setup support needed by tomorrow morning,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Medical,Assam,Flood,5,12,9,high,Medium
Emergency relief – medical camp setup tonight,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Medical,Andhra Pradesh,Earthquake,1,4,19,critical,Critical
Awareness campaign volunteers needed this Saturday,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Awareness,Rajasthan,None,3,72,12,medium,Medium
Urgent: temporary shelter construction volunteers,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Shelter,Pune,Cyclone,2,48,9,high,High
Shelter setup support needed by tomorrow morning,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Sanitation,Andhra Pradesh,None,4,36,6,high,High
Water distribution support for flood-affected area,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Medical,Rajasthan,Flood,6,36,17,high,High
Library books sorting volunteers this weekend,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Awareness,Bihar,None,5,48,18,medium,Medium
Volunteer drivers needed for medicine transport tomorrow,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Shelter,West Bengal,None,7,36,14,medium,High
Emergency food and water distribution in disaster zone,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Logistics & Transport,Assam,Flood,2,12,9,high,Critical
Life-threatening situation – rescue volunteers needed NOW,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Rescue & Evacuation,Kerala,Landslide,6,8,3,critical,Critical
Sanitation volunteers needed at relief camp,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Medical,Guwahati,Cyclone,5,30,13,high,High
Educational material sorting volunteers needed next week,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Education,Assam,None,3,120,12,low,Low
Volunteers needed this weekend for donation packaging,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Logistics & Transport,Chennai,None,8,48,18,low,Medium
Shelter setup support needed by tomorrow morning,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Shelter,West Bengal,None,6,48,12,medium,High
Food distribution volunteers needed this evening,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Medical,Odisha,None,3,30,19,medium,High
Medical camp volunteers needed this week,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Sanitation,West Bengal,Flood,3,36,17,high,High
Transport volunteers for weekly supply delivery,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Food & Nutrition,Kerala,None,10,48,17,medium,Medium
Food distribution volunteers needed this evening,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Logistics & Transport,Mumbai,Cyclone,6,36,10,medium,High
Urgent rescue operation – volunteers needed immediately,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Logistics & Transport,West Bengal,Cyclone,1,4,2,high,Critical
Emergency blood donors required immediately,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Medical,Guwahati,Flood,5,6,2,critical,Critical
Food distribution volunteers needed this evening,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Logistics & Transport,Chennai,Flood,2,36,16,high,Medium
Emergency blood donors required immediately,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Food & Nutrition,Gujarat,Flood,1,1,8,critical,Critical
Community survey volunteers for planning phase,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Administration,Odisha,None,3,168,9,medium,Medium
Emergency relief – medical camp setup tonight,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Food & Nutrition,Odisha,Cyclone,4,8,3,critical,Critical
Relief camp logistics volunteers needed tomorrow,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Food & Nutrition,Andhra Pradesh,None,5,48,13,medium,High
Library books sorting volunteers this weekend,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Awareness,Pune,Flood,2,72,14,high,Medium
Community kitchen volunteers needed this week,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Psychosocial Support,Himachal Pradesh,None,9,96,8,high,Medium
Emergency food and water distribution in disaster zone,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Rescue & Evacuation,Rajasthan,Flood,3,1,18,critical,Critical
Awareness campaign volunteers needed this Saturday,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Psychosocial Support,Rajasthan,Flood,4,96,18,medium,Medium
Social media content creation volunteer needed,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Administration,Pune,None,2,336,10,low,Low
Urgent medical volunteers needed at flood relief camp,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Rescue & Evacuation,Andhra Pradesh,Flood,1,1,19,critical,Critical
Volunteers needed tomorrow for ration distribution,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Sanitation,Pune,Cyclone,3,36,18,high,Critical
Legal aid camp volunteers needed next few days,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Awareness,Uttarakhand,None,5,96,16,medium,Medium
Urgent rescue operation – volunteers needed immediately,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Rescue & Evacuation,Odisha,Flood,4,6,22,critical,Critical
Skill training session support volunteers,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Skill Training,Uttarakhand,Flood,9,72,15,medium,Medium
Emergency blood donors required immediately,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Logistics & Transport,Uttarakhand,None,6,8,3,critical,Critical
Social media content creation volunteer needed,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Administration,Bihar,None,4,504,16,low,Low
Food distribution volunteers needed this evening,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Shelter,Uttarakhand,Cyclone,4,36,20,high,High
Urgent rescue operation – volunteers needed immediately,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Food & Nutrition,Odisha,None,1,1,5,critical,Critical
Community kitchen volunteers needed this week,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Skill Training,Himachal Pradesh,None,4,48,10,low,Medium
Donation collection drive volunteers this weekend,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Skill Training,West Bengal,Flood,10,120,11,low,Medium
Volunteer coordinator assistant needed,Data entry volunteer needed to digitize paper records over 2-3 weeks. Can work from home at own pace.,Fundraising,Gujarat,None,4,168,12,low,Medium
Emergency medical aid volunteers for flood victims,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Food & Nutrition,Pune,Flood,6,2,2,high,Critical
Social media content creation volunteer needed,Data entry volunteer needed to digitize paper records over 2-3 weeks. Can work from home at own pace.,Education,Chennai,None,2,120,12,low,Low
Community survey volunteers for planning phase,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Awareness,Rajasthan,None,1,120,11,low,Low
Urgent: temporary shelter construction volunteers,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Shelter,Guwahati,Cyclone,7,12,15,high,High
Emergency relief – medical camp setup tonight,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Logistics & Transport,Uttarakhand,Flood,3,2,7,critical,Critical
Shelter setup support needed by tomorrow morning,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Food & Nutrition,Madhya Pradesh,Cyclone,6,18,13,medium,High
Medical camp volunteers needed this week,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Medical,Karnataka,None,3,18,8,high,High
Volunteers needed tomorrow for ration distribution,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Food & Nutrition,Uttarakhand,Cyclone,8,12,21,high,High
Rescue team needed near landslide zone tonight,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Rescue & Evacuation,Rajasthan,Earthquake,4,8,22,high,Critical
Emergency food and water distribution in disaster zone,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Food & Nutrition,Andhra Pradesh,None,2,12,20,critical,Critical
Emergency relief – medical camp setup tonight,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Food & Nutrition,Guwahati,Flood,5,2,12,critical,Critical
Relief camp logistics volunteers needed tomorrow,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Shelter,Assam,Flood,3,30,19,high,High
Website update volunteer needed,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Education,Chennai,None,2,120,10,medium,Low
Medical camp volunteers needed this week,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Sanitation,Uttarakhand,Cyclone,4,12,14,critical,High
Relief camp logistics volunteers needed tomorrow,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Logistics & Transport,Rajasthan,None,4,18,14,high,High
Critical: trauma support volunteers needed at hospital,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Medical,Mumbai,None,4,8,17,critical,Critical
Volunteer coordinator assistant needed,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Awareness,Assam,None,2,168,13,low,Low
Urgent medical volunteers needed at flood relief camp,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Food & Nutrition,Andhra Pradesh,Flood,4,3,11,critical,Critical
